R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10
0.3745019920318725,0.37550866059617866,0.3831515832621961,0.0,-1.0,1.0214615191949021,0.0046341353716099765, 0.0030966524282321144, 0.0025989620526612103, 0.0023189953405286473, 0.0021231551594217764, 0.001918424945898473, 0.0018855992557837604, 0.0016912731940073005, 0.0015699107088258185, 0.0014967507584161593,0.020010144290380852, 0.020010144290380852, 0.020010144290380855, 0.02001014429038085, 0.02001014429038086, 0.0, 0.020010144290380838, 0.020010144290380845, 0.0, 0.02001014429038085,0.0013519793972113533, 0.0015758248251254321, 0.0015968163220925658, 0.0016437129211695448, 0.0018389687801381742, 0.0019910429698796607, 0.0023755631411848978, 0.0027593832707529485, 0.0034200341722867597, 0.005654207735136206,1.5698529729877555, -0.43366789028719555, -0.033805050910513154, -0.23395411591724888, -0.0328135691093573, 0.16547115099660725, -0.1659083396398589, 0.3664729181146803, -0.23141557252119063, 0.23200941528957902
0.3950617283950617,0.396539086883831,0.38019626232434506,0.0,-1.0,1.0194799370107208,0.005269256418470942, 0.0037164622214046943, 0.0031630283906321157, 0.0027507267912492118, 0.0024194781740510454, 0.002156587241145127, 0.0018996178266969196, 0.0017121196914956112, 0.0015574504000684562, 0.0013679145980626235,0.021371378595848926, 0.021371378595848933, 0.02137137859584894, 0.021371378595848926, 0.02137137859584893, 0.021371378595848933, 0.021371378595848933, 0.021371378595848946, 0.021371378595848933, 0.02137137859584894,0.0016095106710600987, 0.0017331488575299348, 0.0018389671057046748, 0.001955338432675795, 0.002104095220778227, 0.0022680978029959065, 0.002484443313453745, 0.002799282941050123, 0.003317485152751842, 0.004323047876912207,1.5700125885784872, -0.06492541275916093, 0.13110018901527692, 0.19577675023622984, -0.06546961768438579, 0.0008038573624806061, 0.19591273657951555, 0.06494168721519308, 0.19651534521156347, 0.06535436918426758
0.4369747899159664,0.4379304911627838,0.3185445560458625,0.0,-1.0,1.0102947313249666,0.005432541404564001, 0.004274826413379097, 0.0036048665584160066, 0.003167176009598677, 0.002873425859755222, 0.0026610761980545147, 0.00250898788323809, 0.002341957778268856, 0.0022123945540907792, 0.0021212767793523176,0.023444721295446218, 0.02344472129544621, 0.02344472129544621, 0.023444721295446218, 0.02344472129544622, 0.023444721295446214, 0.023444721295446218, 0.023444721295446225, 0.023444721295446218, 0.023444721295446214,0.0010895214751780217, 0.0011875431266650097, 0.0012634791742681068, 0.001384070563727746, 0.0015142628644018092, 0.0017342845287353968, 0.001981915698626637, 0.002313315202653506, 0.0028124918727749667, 0.003509614124448055,1.57017367298489, -0.12025060372344926, 0.12084831818283502, 0.0002803035089929321, 0.059808377046373505, -0.05989352632875082, -0.0001627653047619855, 0.3620124846068965, -0.30224959981213956, -0.36172673771860775
0.5040650406504065,0.5054653332687883,0.589670208778569,1.0,-1.0,1.0189814481842745,0.0030387346486220766, 0.002586020124774929, 0.002164151513400801, 0.0020373376993908744, 0.0022096734557404594, 0.0017735927081967131, 0.0017487858206330503, 0.001601464236657867, 0.0015926630454478913, 0.0014074914736065109,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0011545635542077085, 0.001204319760587033, 0.0013715105379628447, 0.001677749910050034, 0.002152526789466511, 0.0023953849584106277, 0.0030045235933175074, 0.0037623023101730022, 0.004836985549707715, 0.0069439469463136155,1.5702731423291076, -0.5050261069500678, -0.3544946200307286, 0.19995834327157389, 0.15008194414239762, 0.08027645058026826, 0.0799152607396149, 0.06812490419592496, 0.5991649396185401, 0.26650272848882706
0.30798479087452474,0.30941852996431785,0.41737657651867166,1.0,-1.0,1.027395184997912,0.004895641695897963, 0.0029145179707786477, 0.0021393632437236385, 0.0017370785932548857, 0.0014671408347906461, 0.0012968470665280678, 0.0011847173458041256, 0.0010696574123122318, 0.000948334142829362, 0.0008921741300722598,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0011879974203571366, 0.0013601643303647658, 0.0015354727152480652, 0.001785492309081679, 0.0020888092304738974, 0.002512957285766386, 0.0031264757333936046, 0.003960920155542628, 0.005155748953914291, 0.007137341116287618,1.5893321875895197, -0.8171536342352149, 0.2786096088962403, -0.1269834879641978, 0.20714648677923825, 0.25540646359501895, -0.01999649948085017, 0.17073624110748814, 0.15180825449446, -0.1615488060005368
0.41729323308270677,0.41884693199163486,0.6048207062891893,0.0,-1.0,1.0073634443934694,0.004694744889028771, 0.002343054972242995, 0.0016580706088999628, 0.0013007738409605092, 0.0010914315340232478, 0.0009273730133153552, 0.0008085587694917999, 0.0007534196307574402, 0.0006932894590030462, 0.0006325891449624325,0.0, 0.020268339700579317, 0.020268339700579313, 0.020268339700579313, 0.02026833970057931, 0.020268339700579317, 0.020268339700579317, 0.0, 0.0, 0.0,0.001670345829763686, 0.0018459974117163123, 0.002047485887961569, 0.0023015316971450373, 0.002590603211300181, 0.0029792565801371232, 0.003467733667779629, 0.004085423550907365, 0.004880238095274258, 0.005982437770504931,1.5557270867402135, 0.13821831301963972, 0.3078221987780368, 0.19509184325231352, -0.026036367244383705, 0.26056985688078454, -0.24975101519399487, 0.13947075076972448, 0.07897962824914032, -0.09494241239638859
0.3911290322580645,0.39229177616801963,0.4075397109977644,0.0,-1.0,1.0111277294306351,0.00473738494412019, 0.0028229404380574886, 0.002398799533046783, 0.002287970211746805, 0.0020846573364187173, 0.001925125495117548, 0.0020252790616690558, 0.0018336208679375324, 0.0016728589230831097, 0.0016474754140246054,0.02080524936152181, 0.02080524936152181, 0.02080524936152181, 0.02080524936152181, 0.020805249361521807, 0.0, 0.02080524936152181, 0.02080524936152181, 0.02080524936152181, 0.0,0.001733133757943032, 0.0019412523309017585, 0.001877252114177647, 0.0020109098176888406, 0.0019492080593583243, 0.0021688830115848294, 0.0025872084511944548, 0.0028291770891636014, 0.0033870841131148754, 0.004611715782470464,1.5535941257281591, -0.5188066270604168, -0.06212160561359093, -0.0634991837739213, 0.19194303474509564, -0.12872614630980472, -0.1277475167727157, -0.3235994396987261, -0.7115238913575851, 0.2565477597964536
0.3763837638376384,0.37792593563334376,0.554380485760469,0.0,-1.0,1.0583617392542641,0.003965861662769618, 0.002255735912629872, 0.0017238673187446004, 0.001460165404104538, 0.0012932727343067923, 0.0011672986247264765, 0.001086319148122276, 0.0010085873693463172, 0.0009440876215886754, 0.0008799074281934899,0.0, 0.0, 0.0, 0.0, 0.018589305642543148, 0.01858930564254316, 0.01858930564254316, 0.0, 0.0, 0.0,0.0016196399612167824, 0.0017713524631561067, 0.001957355960363236, 0.002191431592525741, 0.002484853339259497, 0.0028750333828503234, 0.0033963921194122503, 0.004092057721690668, 0.005110279346769825, 0.007038618015697436,1.5389801460014905, -0.24452487624702263, -0.24698129709585673, -0.30919094165413896, 0.0019459243608272556, -0.24560786703972773, 0.05751893707729578, -0.18271611356174522, -0.057289620164081026, 0.115762450726438
0.559322033898305,0.5602342617736936,0.5815669823254583,nan,-1.0,1.1013296771183219,0.004549736132755875, 0.0034913963349678966, 0.0028827338962207215, 0.002499240427573249, 0.0022610054486698655, 0.0021308482681437115, 0.002019505948646765, 0.0019489251271517986, 0.0018645805210189966, 0.0018210489770414582,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0018066222886542116, 0.0019306847409845589, 0.002071826471038499, 0.002246827545444776, 0.0024512860609728834, 0.002704217550815189, 0.0029908414939691453, 0.003353509509832812, 0.0037928239537532034, 0.004541164023882979,1.5695971311009755, 0.09562635363654096, 0.23771495891014074, -0.1902231589802703, -0.331017852090226, 0.0941946027706417, -0.049168071786692684, 0.1901336818677841, -0.043289356623858265, -0.33466488345970563
0.31746031746031744,0.31853094139172017,0.35360916334080095,0.0,-1.0,1.015209687035604,0.005521471084061893, 0.0034490138856506725, 0.0026077573302718277, 0.0021183184512136247, 0.0017976276736051432, 0.0015806905145578742, 0.0014248303965227241, 0.0013027509639734446, 0.0011937549623974879, 0.001114930417659697,0.03653014713476505, 0.03653014713476503, 0.01826507356738252, 0.01826507356738251, 0.036530147134765024, 0.03653014713476502, 0.0, 0.03653014713476504, 0.036530147134765024, 0.0,0.0019776757494039624, 0.00202657946140675, 0.0020959335802430866, 0.0021497932375714357, 0.002210163487007562, 0.002312671851481044, 0.0024501765459938912, 0.0027105648737329167, 0.003291417907882426, 0.004781290804830457,1.5692142195082481, -0.288813793024702, -0.25198961593733854, -0.13281882591803068, 0.26649968405550795, 0.4388238924889702, 0.11048711572009393, 0.13361164708067352, -0.19244940204634137, -0.054975195389824774
