R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10, M_s11, M_s12,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10, P_s11, P_s12,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10, M_u11, M_u12,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10, P_u11, P_u12
0.05938242280285035,0.05965386124661291,0.3087378418202216,0.30434782608695654,-1.0,1.0015326347735376,0.0006321610119949129, 0.00041648456054733154, 0.0007036740207347836, 0.00041295052692077685, 0.000620501140244966, 0.0005135694789535803, 0.0010885894108374615, 0.000669668147418582, 0.0007337114980953225, 0.0009564972026662972, 0.0009922896643447322, 0.0006003314295541665,0.0, 0.015866629563584814, 0.01586662956358481, 0.007933314781792407, 0.0, 0.015866629563584814, 0.0, 0.007933314781792405, 0.015866629563584818, 0.01586662956358481, 0.015866629563584804, 0.015866629563584814,0.006000154985057473, 0.003360182007376253, 0.005586772447867337, 0.004388556479365731, 0.005727282323128713, 0.003824884514497907, 0.005803329235747092, 0.0058202608296466125, 0.005142702488411073, 0.0058493754979215985, 0.004241734283637596, 0.0032600075631668713,1.6314493252412645, 0.37711827953500404, -1.3799683707566683, -1.129983777285625, 1.631340149320242, -0.8784273718938398, -0.8789682633008661, -0.6270496027189545, 0.8802995970991431, 0.8800400073905109, 0.8796981719440433, 0.6284593330092555
0.1759656652360515,0.17669478134978242,0.4914709867941848,1.0,-1.0,1.0060546267904509,0.0004241353669605347, 0.0003123040157053867, 0.0005062914602803329, 0.0002534991129800769, 0.0004332720843479247, 0.0003685928974909469, 0.0008903479832307106, 0.0008187354885180412, 0.0007208365406493968, 0.0005702777017350609, 0.0007059388329349724, 0.0004300737987197186,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0026850608788026734, 0.0012999141280544873, 0.003624140648633499, 0.0014872805283456926, 0.003112952946677841, 0.0023592908678380605, 0.003123914480250676, 0.0020307200969983245, 0.002615832891607784, 0.0025030118861473273, 0.002657849113717513, 0.001620689529560515,1.6063568386954998, -0.8469274604826607, -1.0004248867739614, -0.6863482804349633, 1.149959131478729, -0.9998361628775609, -0.2357000845013891, 0.22457550598680298, 0.9949333391585006, 0.07758952228800681, 0.22861264391930763, -0.23122064986059998
0.08037825059101655,0.08070965955518232,0.1558524211627943,0.0,-1.0,1.0011949647775042,0.0006647693803704402, 0.0006034886593100408, 0.0007806998768224134, 0.0004963943358699813, 0.0006602117594520025, 0.0006223557310045513, 0.0004420188753728289, 0.0007165209469527437, 0.0012582770458287095, 0.0012270638580519366, 0.0018177159077402188, 0.0011105356543499925,0.008076073659613867, 0.008076073659613865, 0.008076073659613867, 0.0, 0.0, 0.008076073659613868, 0.008076073659613863, 0.008076073659613858, 0.0, 0.0, 0.0, 0.0,0.0014113632700600662, 0.0009178196215631033, 0.0018992341391869973, 0.0005949955110565854, 0.0016250026543557024, 0.0013093107904561874, 0.0010393726863425672, 0.002318863492559341, 0.003539233947144687, 0.0030974121479921883, 0.002439913486533254, 0.001776027122540319,1.5702364282404397, 0.09195989246530753, -1.385884525786064, -1.20071190868214, 1.3856585376309518, -1.01656387172642, -0.8335160063506847, 1.568245953388992, 1.5675583307490686, 1.3832446771815152, 1.199220101392133, 1.0153680978101967
0.09200968523002422,0.09232222898312406,0.24577414105334772,0.0,-1.0,1.0028823252546257,0.0006506710548986211, 0.00047060002899383056, 0.0008303217611689441, 0.0003727066967386656, 0.0007109684626922814, 0.0005857076978867896, 0.00035168172271002855, 0.0008585481732373775, 0.0011813842607066147, 0.001151933488021875, 0.0013320514172933313, 0.0011157582194977042,0.0, 0.0, 0.00837758040957278, 0.008377580409572781, 0.0, 0.0, 0.008377580409572784, 0.0, 0.0, 0.0, 0.0, 0.0,0.0016803997565229278, 0.0014584967265140788, 0.0026820172606228303, 0.0008680010505361024, 0.0021316966016961553, 0.001967115798923089, 0.0014613536114256901, 0.003202003988697795, 0.0038765625997910064, 0.0037682717087007063, 0.00497095448128988, 0.0028439977019028458,1.5696476307350178, -0.08188419794359847, -1.2381743802945584, -0.9092370746653926, 1.56926751379201, -0.9080529131995775, -1.2384127348473608, 0.7431486775459486, 0.9064612497986841, 0.7423755196364787, 0.9109826150596734, 1.0729892034188113
0.3939393939393939,0.3949763912176276,0.437399206215705,0.4117647058823529,-1.0,1.0044747795925273,0.0006693005133921312, 0.00044058376329452555, 0.000870082955911925, 0.0003221511583972409, 0.0007188551221920412, 0.0006319597166198889, 0.0005521156345748361, 0.0008889313868622245, 0.001344237580538295, 0.0016312660846701044, 0.0010490797537983355, 0.0008527861308738163,0.02243994752564138, 0.02243994752564138, 0.02243994752564138, 0.0, 0.022439947525641383, 0.02243994752564138, 0.02243994752564138, 0.02243994752564138, 0.02243994752564138, 0.02243994752564138, 0.0, 0.02243994752564138,0.0008616811610461133, 0.0005813545025411229, 0.0011972247739810663, 0.0003656475134517502, 0.0010008759947687709, 0.0008445751736003336, 0.0007912131247657185, 0.000881849231128567, 0.0013301003822975056, 0.001314992898636534, 0.0015093303639640407, 0.001247798578696663,1.5877113543687134, 0.34516765871646354, -1.1044472405415473, -1.2426249565778644, 1.173462854581069, -0.414163717177924, -1.104471225792978, 0.4139842671270419, 0.48281334595983816, 0.8279489187226277, 1.3112186308078884, 1.4492755593180913
0.09649122807017543,0.09690281421966172,0.219274461551255,0.0,-1.0,1.0024594896459407,0.0007773196404455186, 0.0004948573373845337, 0.0004945156391382636, 0.0005964290907728008, 0.0006064473019970333, 0.00031542248745993807, 0.0008183109813218635, 0.0015525346457194713, 0.0006876122373564829, 0.0007980062034588808, 0.0008316649292123378, 0.0008427913374177217,0.02287567466206161, 0.015250449774707738, 0.0076252248873538665, 0.0076252248873538665, 0.030500899549415462, 0.015250449774707733, 0.0076252248873538665, 0.0076252248873538665, 0.007625224887353865, 0.015250449774707738, 0.015250449774707736, 0.015250449774707733,0.0017826927109737924, 0.0015103947730653149, 0.001454078046723408, 0.0014346717814112426, 0.0015730038203150267, 0.001037177938202545, 0.002492243174202694, 0.0043049407930768014, 0.0015303672681017044, 0.0016966764096935586, 0.0022271267220694605, 0.002141324658752278,1.5696243678313566, 0.7135943575764684, -1.141617732881881, -1.4271970085174526, 1.5698392161996357, -0.42818874501880866, -0.8567735447942625, -0.14320092055155698, 0.28558489406274795, 1.4273336385565036, 1.5692548235122714, 1.4270912209832192
0.053811659192825115,0.05400742388431726,0.11404350643510061,0.0,-1.0,1.0021792144653203,0.0008397821409905332, 0.0005970086894563093, 0.0005358575138250848, 0.0006712118271662638, 0.0006426450614867794, 0.0003957026899945813, 0.0009677151763830659, 0.0015158802634716482, 0.0007321629086011825, 0.000901818631290846, 0.0009764336487227013, 0.000916055192496031,0.007444532354478183, 0.007444532354478181, 0.007444532354478183, 0.007444532354478183, 0.007444532354478183, 0.0, 0.007444532354478191, 0.007444532354478191, 0.014889064708956366, 0.007444532354478184, 0.007444532354478185, 0.007444532354478183,0.001255328825137858, 0.0012814170737039524, 0.0009762958088269922, 0.0011948136750695962, 0.0009897237769116059, 0.0008518884653930681, 0.0016168779290236998, 0.0070457279851306835, 0.0013939945090820386, 0.0013431791708660038, 0.0014955483062782896, 0.0024925990705327136,1.5701708858962073, 1.0467897117507399, -0.7851999415160789, -1.5702885923320855, 1.5703746976243644, -0.00012420641894892817, -1.0465025853598746, -0.5224422809793003, -0.5231578630340498, 1.3085379767706244, 1.5699995525749533, 1.3085754717560751
0.3374485596707819,0.33867792798895496,0.5209426935809043,0.0,-1.0,1.0071239585395895,0.0008030991495509337, 0.00035574662754357574, 0.0006515273656930608, 0.0005052801239509314, 0.0007475551076491044, 0.0003361174289512427, 0.0007126149099676417, 0.0008993195801618322, 0.0004380068868947953, 0.0006157704872753595, 0.0007355834090431262, 0.000673565637793298,0.0, 0.0, 0.019512997848383812, 0.01951299784838381, 0.0, 0.01951299784838381, 0.019512997848383812, 0.0195129978483838, 0.01951299784838381, 0.0, 0.0, 0.0,0.0015341398388539346, 0.00111418283882087, 0.0007172950778342955, 0.0012939442924836165, 0.0010763981223566835, 0.0005401961474749621, 0.0017055534836308535, 0.00236588168286601, 0.001286679730297181, 0.0012781828609690165, 0.0015424958762647858, 0.001503049635733287,1.5696875227541705, 0.8804153167461596, -0.72756478393912, -1.2633560241655537, 1.4168022594891316, 0.11476688103695194, -0.42136265375737053, -0.0382032140446942, 0.4978111186177378, 1.110215601131762, 1.2628767960357312, 1.4163702053121303
0.075,0.07541080539877197,0.3552539365701041,0.5333333333333333,-1.0,1.0041008711430117,0.0005334048394831426, 0.00041400052623524216, 0.0005113567189685416, 0.0003936536169324156, 0.0004864799643270234, 0.0003650548195076661, 0.000868764002647253, 0.0006866340660724455, 0.0005809525025966292, 0.0008279347306022455, 0.0010605404585613354, 0.001061297373954145,0.0, 0.0, 0.007718900868770991, 0.007718900868770992, 0.0, 0.007718900868770989, 0.0, 0.007718900868770991, 0.007718900868770992, 0.0077189008687709925, 0.007718900868770991, 0.0,0.005585927960740843, 0.0027945558511868088, 0.0038087055859406167, 0.003997177585363601, 0.00455208918220726, 0.0018177059953106646, 0.005767226860938864, 0.007468329244190002, 0.003429835342641941, 0.0036929645370049817, 0.003511972177177226, 0.006512082775785329,1.5192836016118862, 0.2846992811820115, -1.2345420757567838, -0.473594586248494, 1.5196949635488637, -0.6653481900861191, -0.952781446273498, -0.09387154508875248, 0.09588858996452354, 0.47504201033534976, 1.0452694475310826, 0.5734310242784469
0.11009174311926606,0.11057760460840595,0.1710918401110838,0.0,-1.0,1.0038177846855194,0.000862371872323182, 0.00041258658078371143, 0.0008352992950131742, 0.000580631042270288, 0.0008077470789957514, 0.0005310777884911628, 0.00107742180496143, 0.0009504282359577313, 0.0007209438322746188, 0.0009809331424728111, 0.0011357022391718585, 0.0010217187441379889,0.008096888282447923, 0.008096888282447921, 0.0, 0.0, 0.016193776564895835, 0.0, 0.008096888282447917, 0.0, 0.0, 0.0, 0.008096888282447924, 0.0,0.0014057313508119365, 0.0009028610291079249, 0.0011100044988163148, 0.0010489579652106656, 0.001179442899356437, 0.00069011161350711, 0.0011228291754210695, 0.002144057813411492, 0.0010496527314021633, 0.0017589400601029754, 0.002224753013334311, 0.0019084523191643147,1.5700462027040512, 1.046881407465284, -0.2613783931571888, -1.3084884154770493, 1.3084109451228356, 0.13095676093459852, -1.0466245569049615, -0.9158995774608459, 0.7853627504813123, 0.9155409456115214, 0.9152199479245812, 0.7849772690393865
